,action
0,Itinerant former military policeman Jack Reacher solves crimes and metes out his own brand of street justice. Based on the novels by Lee Child.
1,Follows a master thief and his Interpol Agent ex-girlfriend who team up to steal $500 million in gold bullion being transported on an A380 passenger flight.
2,"Maya Lopez must face her past, reconnect with her Native American roots and embrace the meaning of family and community if she ever hopes to move forward."
3,"One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers""."
4,Demigod Percy Jackson leads a quest across America to prevent a war among the Olympian gods.
5,"Follows Charles Sun, a Taipei gangster who's settled into his life as a ruthless killer, but must go to L.A. to protect his mother and younger brother after his father was shot by a mysterious assassin."
6,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia."
7,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine."
8,"Set after the battle between Godzilla and the Titans, revealing that monsters are real, follows one family's journey to uncover its buried secrets and a legacy linking them to Monarch."
9,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
10,"Eddie Halstead inherits a large estate from his father, unaware it fronts Pearson's drug empire. With no crime experience, he must take over the operation or lose the estate."
11,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival."
12,"Back to his golden age before the events of ""Money Heist,"" Berlin and a masterful gang gather in Paris to plan one of his most ambitious robberies ever."
13,An introverted spy novelist is drawn into the activities of a sinister underground syndicate.
14,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe."
15,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child."
16,"Emma has a wonderful husband and two kids in the suburbs of New Jersey. She also has a secret life as an assassin for hire, a secret that her husband Dave discovers when the couple decide to spice up their marriage with a little role play."
17,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope."
