,crime
0,"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
1,Itinerant former military policeman Jack Reacher solves crimes and metes out his own brand of street justice. Based on the novels by Lee Child.
2,"Various chronicles of deception, intrigue, and murder in and around frozen Minnesota. All of these tales mysteriously lead back one way or another to Fargo, North Dakota."
3,Widowed mum Maya is disturbed by an image of her late husband captured on her toddler's nanny cam.
4,"In 1980s Brisbane, a precocious boy and his selectively mute brother embark on a suburban odyssey of love, redemption and retribution after their family is torn apart by a drug lord."
5,Follows a master thief and his Interpol Agent ex-girlfriend who team up to steal $500 million in gold bullion being transported on an A380 passenger flight.
6,"Maya Lopez must face her past, reconnect with her Native American roots and embrace the meaning of family and community if she ever hopes to move forward."
7,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
8,"Detective Rufus Cotesworth and his protégé, Imogene, dig for the truth on a Mediterranean ocean liner where everyone is hiding something."
9,"In an attempt to find a non-violent alternative for reducing Hell's overpopulation, the daughter of Lucifer opens a rehabilitation hotel that offers a group of misfit demons a chance at redemption."
10,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
11,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
12,"Eddie Halstead inherits a large estate from his father, unaware it fronts Pearson's drug empire. With no crime experience, he must take over the operation or lose the estate."
13,The famous detective Sam Spade is now 60 and living as an expat in the south of France in 1963.
14,"Back to his golden age before the events of ""Money Heist,"" Berlin and a masterful gang gather in Paris to plan one of his most ambitious robberies ever."
15,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
16,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the main witness."
17,"Two strangers land jobs with a spy agency that offers them a life of espionage, wealth, and travel. The catch: new identities in an arranged marriage."
18,"This series follows the Special Victims Unit, a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes."
19,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis."
20,Follows two brilliant detectives in a tug of war over a historic murder conviction and the quest to find common ground in a polarized Britain.
21,Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder.
22,"After a harrowing home invasion and kidnapping in 2015, a couple is accused of staging the ordeal when the woman reappears in this true-crime docuseries."
23,"Tatra Mountains will become an arena of brutal murder. The investigation is carried out by a cynical but effective policeman, Wiktor Forst."
